yt_id,start_seconds,end_seconds,positive_labels,downloaded
-9GUUhB3QV0, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
-RBs9pPhHY8, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
02Ak1eIyj3M, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
03Q2SbeP_cw, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
0K1mroXg8bs, 9.000, 19.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
0N0C0Wbe6AI, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq', '/m/0c1dj']",True
0xDlT_u31fg, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",False
145N68nh4m0, 130.000, 140.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",False
1F9zCsJyw6k, 230.000, 240.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
1LA8BxMlXSY, 80.000, 90.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
1z16oAB1nMk, 140.000, 150.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']",False
2-h8MRSRvEg, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
28ehZa0fzmo, 28.000, 38.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
2pHfgh_G1yo, 10.000, 20.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
2v_KyNpsyKs, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
2zwNVAyInxs, 15.000, 25.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
4A5lud7-cJo, 21.000, 31.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
4Vq6WDtxTt4, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
4_cfXx3iLes, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
4arad6my08E, 25.000, 35.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
5VElNpaNPoo, 0.000, 10.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
5fjy_2ajEkg, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
5xklhqtPZho, 20.000, 30.000,"['/m/02mfyn', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
7eeN-fXbso8, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",False
84b7NrzJWiI, 420.000, 430.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
8Aq2DyLbUBA, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
8Mnb35qaNBg, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",False
8rICricPhh8, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
93vN8AS4jHY, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
9P6-DKN1XLA, 320.000, 330.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
9WtK0gh4ugE, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
9ezA12O_aOE, 170.000, 180.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
A-IzSI1ysmc, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
A3CJkhyupM0, 10.000, 20.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']",True
AAyqgdDOUYA, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
AKzmNMyyMms, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']",True
AkAdDFHQars, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq', '/m/07yv9', '/m/0btp2']",True
AwFuGITwrms, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']",True
