yt_id,start_seconds,end_seconds,positive_labels
B1oclMKLbPw, 40.000, 50.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/06hck5', '/m/07jdr', '/m/07rwm0c']"
Ijuwt2zVffA, 110.000, 120.000,"['/m/07pp_mv', '/m/09x0r']"
PdKaSTGpuGQ, 50.000, 60.000,"['/m/07yv9', '/m/0k4j', '/t/dd00129']"
d7zFWRs_F2k, 0.000, 5.000,"['/m/06_fw', '/m/09x0r']"
oSI4kI4wO_E, 60.000, 70.000,"['/m/0195fx', '/m/07jdr', '/m/07yv9']"
AkWEga9gUIQ, 0.000, 10.000,"['/m/01y3hg', '/m/02dgv']"
2EtiHxocX0A, 30.000, 40.000,['/m/02mk9']
Rso7hK-V2fc, 30.000, 40.000,['/m/02mfyn']
d9KMKgtMEJY, 0.000, 10.000,"['/m/0199g', '/m/04rlf', '/m/07yv9', '/m/0gy1t2s']"
wM9zpnc8GPM, 100.000, 110.000,"['/m/015lz1', '/m/04rlf', '/m/064t9', '/t/dd00004']"
ynqHcDUZsYw, 330.000, 340.000,"['/m/09x0r', '/m/0btp2', '/t/dd00128']"
WCigwdWmEvA, 30.000, 40.000,"['/m/07yv9', '/m/0k4j']"
1HayoASR-54, 80.000, 90.000,"['/m/07yv9', '/m/0h9mv', '/m/0k4j', '/t/dd00066']"
VlRiPWPzcJo, 20.000, 30.000,"['/m/015lz1', '/m/04rlf']"
fOEyiFsKgs8, 10.000, 20.000,"['/m/046dlr', '/m/04rlf', '/m/07pp_mv']"
l7xw002UvbE, 140.000, 150.000,"['/m/09x0r', '/t/dd00129']"
ilKBFVE5FHk, 0.000, 10.000,"['/m/04rlf', '/t/dd00129']"
0oOhuE27bk0, 30.000, 40.000,"['/m/07r04', '/m/07yv9', '/m/0gvgw0']"
RxcTrFaD9OI, 130.000, 140.000,"['/m/015lz1', '/m/028sqc', '/m/04rlf']"
EEMvla0ONLQ, 30.000, 40.000,['/m/09x0r']
