yt_id,start_seconds,end_seconds,positive_labels,downloaded
Sa8P6-vLU6g, 30.000, 40.000,"['/m/03cl9h', '/m/04rlf', '/m/07yv9', '/m/0k4j']",True
53Fqe6ALgo0, 30.000, 40.000,"['/m/07q2z82', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
i9EWcpKl6QU, 560.000, 570.000,"['/m/0195fx', '/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']",True
NvT6ypvmQQk, 0.000, 10.000,"['/m/04rlf', '/m/081rb', '/m/0gy1t2s']",True
fBS1GnLBZEI, 290.000, 300.000,"['/m/04fq5q', '/m/04rlf']",True
utIk9aZtZYw, 30.000, 40.000,"['/m/04fq5q', '/m/0912c9', '/t/dd00129']",True
k442KjFPJn4, 60.000, 70.000,"['/m/06d_3', '/m/07jdr', '/m/07yv9']",True
2wWC2scb7S8, 30.000, 40.000,"['/m/012f08', '/m/07rknqz', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
AAUOuS0EoW4, 30.000, 40.000,"['/m/07yv9', '/m/0gvgw0', '/m/0k4j']",False
N3pxp1FCJRQ, 110.000, 120.000,"['/m/07pp_mv', '/m/0c3f7m']",True
CQRnIgwonn4, 30.000, 40.000,"['/m/0199g', '/m/07yv9']",False
WbEWevbJ0Es, 3.000, 13.000,"['/m/03cl9h', '/m/04rlf']",True
6de_mfVMVik, 50.000, 60.000,"['/m/03cl9h', '/m/07yv9', '/m/09x0r']",True
9CxwvVLIMeQ, 30.000, 40.000,"['/m/04rlf', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
-EovwXDEidU, 210.000, 220.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr', '/m/07rwm0c']",True
4e1KANI-prc, 30.000, 40.000,"['/m/07q2z82', '/m/07yv9', '/m/0k4j']",True
CzRCNNl4VbM, 550.000, 560.000,['/m/02mfyn'],False
MSeHSCfHniQ, 30.000, 40.000,['/m/04rlf'],False
rW1nCSqC4fI, 0.000, 10.000,"['/m/04gxbd', '/m/07yv9', '/m/0k4j']",True
F6Lc_6f37uA, 450.000, 460.000,"['/m/07rknqz', '/m/0ltv']",True
2x-bngOE29o, 30.000, 40.000,"['/m/01y3hg', '/m/09x0r']",False
qnN__nafsfs, 180.000, 190.000,"['/m/02fs_r', '/m/09x0r']",True
1Z4l1U47D54, 20.000, 30.000,"['/m/03cl9h', '/m/04rlf', '/m/04szw', '/t/dd00125']",True
Zt-j-e-5yWA, 60.000, 70.000,"['/m/03cl9h', '/m/07yv9', '/m/09x0r', '/t/dd00128']",True
qlpo4cFWLw0, 90.000, 100.000,"['/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00066']",True
E7_4m7rS1t8, 390.000, 400.000,"['/m/03kmc9', '/m/0dgbq']",True
3iGkdWGDGf8, 80.000, 90.000,"['/m/07rknqz', '/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']",True
gEhR3e35ZBE, 20.000, 30.000,"['/m/07yv9', '/m/09x0r', '/t/dd00129']",False
QWXMQd662ck, 30.000, 40.000,"['/m/04gxbd', '/m/09x0r']",False
8K-y7HfUWCA, 300.000, 310.000,['/m/02mfyn'],True
udvlrbz_lig, 40.000, 50.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/t/dd00048']",True
-_4pavKENfE, 30.000, 40.000,"['/m/012f08', '/m/04rlf', '/m/07yv9', '/m/0k4j', '/t/dd00134']",True
WYle9IF5rgs, 80.000, 90.000,"['/m/02rhddq', '/m/07yv9', '/m/0k4j']",True
bvRTmLsmNl0, 30.000, 40.000,"['/m/01y3hg', '/m/09x0r']",True
_hPffSzm9UY, 10.000, 20.000,"['/m/030rvx', '/m/06bz3']",True
kpnBiR5RbRE, 20.000, 30.000,"['/m/0195fx', '/m/01g50p', '/m/06d_3', '/m/07jdr']",True
S6fzfTXig48, 0.000, 6.000,"['/m/07yv9', '/m/0912c9']",False
GyygYycarL0, 80.000, 90.000,['/m/0c3f7m'],True
kKO6bCCs8hY, 0.000, 10.000,['/m/02fs_r'],True
61WXylNCH8A, 30.000, 40.000,"['/m/07pzfmf', '/m/07r04', '/m/07yv9', '/m/09x0r', '/m/0k4j']",True
M-WbEEKI7cY, 5.000, 15.000,"['/m/01y3hg', '/m/09x0r']",False
6KuE351KlIY, 30.000, 40.000,['/m/030rvx'],True
zSQh0MuIxBk, 30.000, 40.000,"['/m/04_sv', '/m/0ltv']",True
-tQ6LwfiVPo, 30.000, 40.000,"['/m/04rlf', '/m/09x0r', '/t/dd00128']",True
rsRZQpsltMk, 70.000, 80.000,"['/m/09x0r', '/m/0gy1t2s', '/m/0ytgt']",False
ogZSG1rnEzY, 150.000, 160.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']",True
kHzp87YMNaM, 50.000, 60.000,"['/m/015lz1', '/m/04rlf', '/m/05pd6']",True
upRYsbXww5M, 0.000, 10.000,"['/m/04fq5q', '/m/04rlf', '/t/dd00129']",True
ypkqoZlKA2Y, 4.000, 14.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']",False
smAxsEXKKG4, 40.000, 50.000,"['/m/04_sv', '/m/07q2z82', '/m/07yv9']",True
Z28dSOylNQI, 260.000, 270.000,"['/m/07yv9', '/m/0cj0r', '/m/0k4j', '/m/0ltv', '/t/dd00129']",True
fadvAJ1_2eA, 30.000, 40.000,"['/m/04rlf', '/m/07rknqz', '/m/07yv9']",True
SYiph6yuQgs, 150.000, 160.000,"['/m/04rlf', '/m/07rknqz', '/m/07yv9', '/m/0h9mv', '/m/0ltv']",True
cVoAzAFlGv8, 0.000, 10.000,"['/m/02dgv', '/m/04gxbd']",True
7cEYdBj1DVw, 340.000, 350.000,"['/m/015p6', '/m/07r04', '/m/07yv9', '/t/dd00129']",True
RCytqECCFP0, 50.000, 60.000,"['/m/019jd', '/m/05kq4', '/m/06q74', '/m/07yv9', '/t/dd00129']",True
-vAJomuQQsw, 30.000, 40.000,"['/m/02mk9', '/m/07yv9', '/m/0k4j', '/t/dd00066', '/t/dd00130']",True
Fm0rtB-266g, 10.000, 20.000,"['/m/04rlf', '/m/06_fw']",True
CrzcJm3Wf4g, 60.000, 70.000,"['/m/012f08', '/m/07yv9', '/m/0k4j', '/m/0ltv']",True
nxqrDK9quUk, 10.000, 20.000,"['/m/04rlf', '/m/0912c9', '/m/0g6b5']",True
AC4-BJ9V6uU, 30.000, 40.000,"['/m/03cl9h', '/m/04rlf']",True
4RCBl6FIuL4, 300.000, 310.000,"['/m/01jwx6', '/m/07r04', '/m/07yv9']",True
Jatt11aCQ4w, 10.000, 20.000,['/m/0btp2'],True
l7bje9Ay9Ig, 20.000, 30.000,['/t/dd00048'],True
P0WRoOP5zeE, 1.000, 11.000,['/m/04fq5q'],True
bRhlhyw_cW4, 10.000, 20.000,"['/m/04_sv', '/m/07yv9', '/t/dd00129']",True
nMUF7vnbKn8, 30.000, 40.000,"['/m/07r04', '/m/07yv9', '/m/0gvgw0']",True
0XGiXjdfNZc, 30.000, 40.000,"['/m/09x0r', '/m/0c3f7m']",False
vzP6soELj2Q, 0.000, 10.000,"['/m/02rhddq', '/m/07yv9']",True
yjC-6OIgJ8Y, 1.000, 11.000,"['/m/01bjv', '/m/07yv9', '/m/0912c9', '/m/09x0r', '/t/dd00128']",True
8zzNZEi5jL0, 20.000, 30.000,"['/m/03kmc9', '/m/0dgbq']",True
9lKRvKqZhtk, 530.000, 540.000,"['/m/07r04', '/m/07yv9']",True
AzhfZ8rNhRk, 30.000, 40.000,"['/m/01y3hg', '/m/04rlf', '/m/07pp_mv', '/m/0c3f7m']",True
OZnIRWH4Py0, 70.000, 80.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/m/09x0r']",True
tD6zab5GxTo, 50.000, 60.000,"['/m/07yv9', '/m/0btp2', '/t/dd00128']",True
fToLK-Axbu8, 160.000, 170.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07qv_d5', '/m/07yv9']",True
0cjmAt96WEI, 70.000, 80.000,"['/m/0199g', '/m/07yv9', '/m/09x0r']",True
KqwjPVvva5M, 0.000, 10.000,"['/m/07yv9', '/m/09x0r', '/m/0k4j']",True
PuCg_YM468U, 50.000, 60.000,"['/m/07qv_d5', '/m/07r04', '/m/07yv9', '/m/09x0r', '/t/dd00128']",True
eV5JX81GzqA, 150.000, 160.000,"['/m/07rknqz', '/m/07yv9', '/m/0h9mv', '/m/0k4j', '/m/0ltv']",True
xC9q1xl8qC0, 40.000, 50.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']",True
rqkNh-XM9ME, 20.000, 30.000,"['/m/07yv9', '/m/0k4j', '/m/0ltv', '/t/dd00129']",True
198Ok4LhDc4, 30.000, 40.000,"['/m/02rhddq', '/m/07r04', '/m/07yv9']",True
n4IOK5liZf8, 10.000, 20.000,"['/m/07pp_mv', '/m/0c3f7m']",False
m6VvI0lgF-c, 90.000, 100.000,"['/m/09x0r', '/t/dd00129']",False
7mibPdU-wSs, 2.000, 12.000,['/m/04gxbd'],True
Hzm2k56RIZo, 0.000, 10.000,"['/m/07yv9', '/m/0btp2']",False
JuOq6iEvsV4, 0.000, 10.000,"['/m/04rlf', '/m/07qv_d5']",False
aEqunR7Xjf0, 10.000, 20.000,"['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']",True
1BF5vloXKBk, 30.000, 40.000,"['/m/06_fw', '/m/09x0r']",True
0Jd5v9oW4E0, 20.000, 30.000,"['/m/01g50p', '/m/04zmvq', '/m/06d_3', '/m/07jdr', '/m/07yv9']",True
x8peTK7WLPs, 50.000, 60.000,"['/m/012f08', '/m/01bjv', '/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00128']",True
IHtbGqsxmNU, 20.000, 30.000,"['/m/07qv_d5', '/m/07r04', '/m/07yv9', '/m/0912c9']",True
HFpfDaLZtzQ, 30.000, 40.000,"['/m/01y3hg', '/m/02fs_r', '/m/09x0r', '/m/0c3f7m']",True
pUWPYmRaZJE, 290.000, 300.000,"['/m/06d_3', '/m/07jdr', '/m/07qv_d5', '/m/07yv9', '/t/dd00129']",True
2vkDY8ctipA, 50.000, 60.000,['/m/06_fw'],True
l1W6440x6hQ, 20.000, 30.000,"['/m/0199g', '/m/07yv9']",True
NS08v2XgKoQ, 20.000, 30.000,['/m/04rlf'],True
F4pLgGg1EaQ, 30.000, 40.000,['/m/030rvx'],True
7NZ0kMj2HSI, 54.000, 64.000,['/m/02mfyn'],False
cUnba_uPf7M, 30.000, 40.000,"['/m/07yv9', '/m/09x0r', '/m/0k4j']",True
NgPI8pM1AMw, 30.000, 40.000,"['/m/02fs_r', '/m/09x0r']",True
IqOhUvQqkbc, 0.000, 10.000,"['/m/04rlf', '/m/06_fw']",False
LF5-9_fnFC8, 200.000, 210.000,"['/m/07rknqz', '/m/07yv9', '/m/0h9mv', '/m/0ltv']",True
HQ4lzGNfPpo, 150.000, 160.000,"['/m/046dlr', '/m/07pp_mv', '/m/09x0r']",True
KBX2_o073kI, 60.000, 70.000,"['/m/046dlr', '/m/07pp_mv']",False
TNmkYF58Icw, 10.000, 20.000,"['/m/015lz1', '/m/04rlf', '/m/064t9', '/t/dd00128']",True
8Ygakc5NrPI, 110.000, 120.000,"['/m/07yv9', '/m/09x0r', '/m/0btp2', '/m/0k4j', '/t/dd00134']",True
HoxVwvY4Bjo, 20.000, 30.000,"['/m/02mk9', '/m/07yv9', '/t/dd00128']",True
v-z1cnNbbo4, 10.000, 20.000,"['/m/07rknqz', '/m/07yv9', '/m/0k4j', '/m/0ltv']",True
fpRj6C2nPN4, 30.000, 40.000,['/t/dd00134'],False
necVr9Y2AxY, 30.000, 40.000,['/t/dd00134'],False
pSKQUtkea-k, 240.000, 250.000,"['/m/07qv_d5', '/m/09x0r', '/t/dd00128']",True
UXJ3-AXsSIE, 0.000, 10.000,"['/m/012f08', '/m/02mk9', '/m/07yv9', '/m/0k4j']",True
C22x3y01L0Y, 30.000, 40.000,"['/m/012f08', '/m/07yv9']",True
LTf-gfTc928, 80.000, 90.000,"['/m/01g50p', '/m/06d_3', '/m/07jdr', '/m/07yv9', '/t/dd00048']",True
2Ouf-b0b9WU, 20.000, 30.000,"['/m/07qv_d5', '/t/dd00128']",True
2vUD6_v7ctU, 30.000, 40.000,"['/m/012f08', '/m/04rlf', '/m/07yv9', '/m/09x0r', '/m/0k4j']",False
G9aFGxVDHdQ, 30.000, 40.000,"['/m/034srq', '/m/04fq5q', '/m/05kq4']",True
EtpBd-AIf2o, 30.000, 40.000,"['/m/01bjv', '/m/07yv9', '/m/09x0r']",True
ZkxNb6tpbOQ, 30.000, 40.000,"['/m/04rlf', '/m/06_fw']",True
jH7m4UJQ7hQ, 0.000, 10.000,['/m/02mfyn'],True
