yt_id,start_seconds,end_seconds,positive_labels
-4RWqM0UCCY, 0.000, 10.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
-Y1qiiugnk8, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
-_dElQcyJnA, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
-z47zN0YyE4, 420.000, 430.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
0JPT13OUVV8, 220.000, 230.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
2Pq9c0tFt1g, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
3uZy0wkterE, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
4APBvMmKubU, 10.000, 20.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq', '/m/0c1dj']"
4lflH2Jvm8k, 30.000, 40.000,"['/m/012n7d', '/m/02mfyn', '/m/03j1ly', '/m/03kmc9']"
4yub23Xuzos, 150.000, 160.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
5quD8nDBLnU, 60.000, 70.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
61ZirC2IlLg, 210.000, 220.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
6F3YIb0Uw4I, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
6dhpe65QOcc, 16.000, 26.000,"['/m/012n7d', '/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
7342zytpO4o, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
7Hcizjr7zB8, 140.000, 150.000,"['/m/04qvtq', '/m/04rlf', '/m/0l156b']"
81-uERZml1w, 10.000, 20.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
8DaEd5KbnnA, 80.000, 90.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
9GKalHsMARA, 60.000, 70.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
ALjgoKbg4h4, 180.000, 190.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
ATbEwmTJwD0, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
AV76SZTw6z8, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
Al2qQMp2RUA, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
AsQXL6yXbvs, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
Axov9pRGK7s, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
BAB5U7kCOH0, 380.000, 390.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
BHqX1Jxxr5k, 160.000, 170.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
BMqxW3bs0iU, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq', '/t/dd00134']"
BYbIKQqGE2U, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
BZtLVLGnILI, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
BgUWb7ArWSM, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
CHBhh3ASk5Q, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
CL9m1ci5q6o, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
CT1RIngdLQI, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
CvHu8TxyXXQ, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
D0MtSXYS1kY, 120.000, 130.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
DKFz6eMHLfI, 30.000, 40.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/03qjg', '/m/085jw']"
E4m7ufzmUHo, 15.000, 25.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
E7tueVnDYDE, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
EUn5O3SywCE, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/07yv9', '/m/0btp2', '/m/0k4j']"
E_GwHraQ-L4, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
F0LSs8MZN4w, 20.000, 30.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
F6l3MRb__G0, 400.000, 410.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
HDDxzqEUy74, 150.000, 160.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
HDQyCmiloQQ, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
HDtWg47wzGg, 130.000, 140.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9']"
HqzzvRL1raY, 170.000, 180.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
HxB6C9su7ts, 270.000, 280.000,"['/m/03j1ly', '/m/07yv9', '/m/0912c9']"
IcPca0d-14o, 460.000, 470.000,"['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
JHI63b0sgnw, 90.000, 100.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
Jtoff_VHCg8, 30.000, 40.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
KVgjCA68_Kk, 30.000, 40.000,"['/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
KdGHXLe3C9E, 20.000, 30.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9']"
KqUD1AAGpJ4, 50.000, 60.000,"['/m/012ndj', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']"
