segment_id	start_time_seconds	end_time_seconds	label
uZuEn8mguGE_10000	0.000	10.000	/m/012ndj
cyUxVnEi4RQ_30000	0.000	2.857	/m/04qvtq
cyUxVnEi4RQ_30000	3.141	5.261	/m/04qvtq
cyUxVnEi4RQ_30000	5.464	6.082	/m/04qvtq
cyUxVnEi4RQ_30000	6.325	10.000	/m/04qvtq
z0qomNg_jRM_30000	0.000	10.000	/m/012ndj
dIUthrXjhGM_30000	0.000	10.000	/m/012n7d
WMjytu6-ltE_20000	0.000	10.000	/m/012n7d
XFjKL9LzaFQ_30000	8.249	10.000	/m/012ndj
M10kx55QZns_21000	0.000	9.070	/m/03j1ly
eBiM8S755gs_220000	0.000	1.427	/m/03j1ly
eBiM8S755gs_220000	4.603	10.000	/m/03j1ly
XHD0sLHWEUU_30000	7.071	10.000	/m/04qvtq
bKZxCu5vn8s_30000	0.000	10.000	/m/03j1ly
zculW9jrR2g_0	0.000	10.000	/m/03j1ly
-f37Jj__vfU_30000	9.371	10.000	/m/03j1ly
z_sdhRMMvJA_20000	0.000	10.000	/m/03j1ly
m8t6gPBCxr8_20000	0.000	10.000	/m/012ndj
Y0RTSvdcDuE_10000	0.000	10.000	/m/012ndj
mbjOa_msQDw_50000	0.000	10.000	/m/012ndj
AjqFXqkBJ7U_0	0.007	0.750	/m/04qvtq
AjqFXqkBJ7U_0	1.626	2.402	/m/04qvtq
AjqFXqkBJ7U_0	4.027	4.784	/m/04qvtq
AjqFXqkBJ7U_0	6.575	7.298	/m/04qvtq
mgF-ieQ7rV4_30000	0.000	10.000	/m/012ndj
8uBHEGhU5nU_10000	0.000	10.000	/m/03j1ly
GjKctchIsAg_10000	0.000	9.263	/m/012ndj
0bnVue36sUs_10000	0.000	10.000	/m/012ndj
-Xrm60vu-0Y_30000	0.000	4.741	/m/03j1ly
vGH1_wEy_6k_10000	0.000	10.000	/m/03j1ly
zJhW4B55Fn4_40000	0.000	10.000	/m/012n7d
aPWCPjc7bBg_0	0.020	6.803	/m/012n7d
9x-QBLaaKz0_400000	6.843	10.000	/m/03j1ly
V6JZ36ojQkc_30000	0.000	10.000	/m/03j1ly
Gs5B-PtJl6Q_9000	0.000	8.995	/m/04qvtq
jqqEENGIjLM_0	7.542	10.000	/m/012ndj
EU2yVBa1-N8_25000	0.000	9.458	/m/04qvtq
iXGkMnh5hSc_10000	0.000	3.201	/m/012n7d
iXGkMnh5hSc_10000	3.188	10.000	/m/012ndj
LE-hI7toUgA_5000	5.578	8.885	/m/04qvtq
cxRhySahrxo_40000	0.000	10.000	/m/012ndj
4vSnw4-qFao_14000	0.011	4.586	/m/04qvtq
SG9ohajJmGA_30000	0.000	10.000	/m/012ndj
zzY0QX0ZJ4Y_19000	0.000	5.889	/m/012ndj
YRxhBnOHh5g_150000	0.000	10.000	/m/012ndj
xi0lWbgXvGA_30000	6.415	10.000	/m/012n7d
3jH_pyOhBPk_30000	0.000	10.000	/m/04qvtq
4VJRyGdM3yI_30000	0.000	10.000	/m/04qvtq
mfYq1ISxiaU_10000	0.000	10.000	/m/012ndj
0dyfl-736FE_30000	0.000	10.000	/m/012ndj
9D5zrR8ygd4_160000	0.000	10.000	/m/012n7d
kGKQO0LY_7Y_10000	0.000	10.000	/m/012ndj
XQl9q88l95M_30000	0.000	10.000	/m/012n7d
8Kvrkek8h_s_15000	0.000	9.056	/m/012n7d
K5_U6mi3TUo_30000	0.000	10.000	/m/012ndj
qpM_4g7gGcA_30000	0.000	10.000	/m/03j1ly
Z3zGDe25gP4_30000	0.000	10.000	/m/012ndj
yBsfVXP1ewE_30000	7.055	10.000	/m/012ndj
ZftXfAXmTRw_530000	3.031	5.724	/m/04qvtq
TxPRX0NbL9E_30000	0.000	10.000	/m/012ndj
xwVb3n09WaM_1000	0.007	9.762	/m/012ndj
FvYr3ekJe_c_30000	1.488	5.772	/m/03j1ly
FvYr3ekJe_c_30000	7.039	8.866	/m/03j1ly
o-orwtbwGSU_30000	0.000	10.000	/m/012ndj
Y_7tlXONBAw_11000	0.000	8.741	/m/012ndj
VpVQSzhSd14_30000	0.000	10.000	/m/04qvtq
-z47zN0YyE4_420000	0.000	2.824	/m/012ndj
-z47zN0YyE4_420000	2.907	10.000	/m/012ndj
zN0wZWtIXzA_2000	0.008	9.935	/m/012ndj
GwCo3-WX3sw_30000	0.000	10.000	/m/03j1ly
rHaXF6gyVsw_80000	0.005	10.000	/m/04qvtq
wD20jAGWBgM_10000	0.000	6.918	/m/012n7d
5SHCBLMK348_160000	0.000	10.000	/m/012ndj
9JYtAATrj1I_10000	0.000	10.000	/m/04qvtq
IRROtxNE3qU_30000	0.000	10.000	/m/012ndj
o51WS1A5VjA_20000	5.921	10.000	/m/012n7d
YhEQ1nsnAmc_20000	0.000	10.000	/m/012ndj
Z0OHOLrhk9k_9000	0.000	9.831	/m/04qvtq
A4lHC6dO0DQ_30000	0.000	10.000	/m/012ndj
7cC2m-yiXg8_10000	0.000	10.000	/m/012n7d
px8-_GM41p4_30000	0.000	10.000	/m/04qvtq
kyR89Lp7vSc_220000	0.000	6.756	/m/03j1ly
wtiScoqyBrY_5000	2.174	6.109	/m/012ndj
Q8FKVbSktX0_10000	0.000	10.000	/m/012n7d
BzZk0Aqb4bI_110000	1.630	10.000	/m/012ndj
ixuTttC4pic_580000	0.000	10.000	/m/012ndj
mQtPEujxwnI_30000	0.000	4.100	/m/04qvtq
mQtPEujxwnI_30000	5.749	10.000	/m/04qvtq
U9v3jE534-A_18000	0.000	9.074	/m/012ndj
WtvSnE0-N4M_120000	1.551	9.496	/m/012ndj
4IF4RDCVKNU_30000	0.000	10.000	/m/012n7d
3QFBiD4jFFc_30000	0.000	10.000	/m/012ndj
E__SrkG0dvQ_190000	0.000	10.000	/m/012ndj
YhjEQrboW_M_30000	4.447	10.000	/m/012ndj
I3B8hD2M33s_30000	0.000	10.000	/m/03j1ly
